Location,Time
Alspaugh,33
Bassett,21
Bell Tower,30
Blackwell Dorm,20
Southgate Dorm,23
Trinity,27
West House,24
Wilson Dorm,26
300 Swift,28
Craven Quad,11
Crowell Quad,16
Decker Tower,20
Edens Quad,6
Few Quad,9
Hollows B,20
Keohane 4E,9
Keohane Quad,7
Kilgo Quad,7
Wannamaker Quad,14
Baldwin Auditorium,26
Bishop's House,30
Bivins Building,30
Branson Hall,29
Brodie Recreation Center,21
Classroom Building,28
Crowell Building,32
East Duke Building,28
Friedl Building,27
Lilly Library,26
Mary Duke Biddle Music Building,35
West Duke Building,22
White Lecture Hall,31
Allen Building,18
Biosciences Building,22
Brodhead Center,13
Bryan Center,11
Card Gymnasium,8
Duke Chapel,21
Fitzpatrick,22
Fuqua School of Business,30
Gross Hall,20
Health and Wellness Center,13
Languages Building,10
LSRC,20
Old Chemistry Building,12
Penn Pavillion ,14
Bostock Library,21
Rubenstein Library,20
Reuben-Cooke Building,20
Sanford Building,16
Social Sciences Building,13
Wilson Recreation ,14